[2024-06-03 20:51:37] [main/INFO] [CustomSkinLoader Fabric]: "version.json": jar:file:/D:/Users/Nitrous/AppData/Roaming/.minecraft/versions/RPGCraft/.fabric/remappedJars/minecraft-1.20.1-0.15.11/client-intermediary.jar!/version.json
[2024-06-03 20:51:37] [main/INFO] [CustomSkinLoader Fabric]: MinecraftVersion: {name='1.20.1', world_version='3465', protocol_version='763'}
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_355, mixin: customskinloader.mixin.MixinGuiPlayerTabOverlay, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_760, mixin: customskinloader.mixin.MixinIImageBuffer, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_3298, mixin: customskinloader.mixin.MixinIResource, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_3300, mixin: customskinloader.mixin.MixinIResourceManager, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_972, mixin: customskinloader.mixin.MixinLayerCape, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_310, mixin: customskinloader.mixin.MixinMinecraft, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1007, mixin: customskinloader.mixin.MixinRenderPlayer, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071$1, mixin: customskinloader.mixin.MixinSkinManager$1, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071$class_8686, mixin: customskinloader.mixin.MixinSkinManager$CacheKey, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071$class_8687, mixin: customskinloader.mixin.MixinSkinManager$TextureCache, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V1, result: true
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V2, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V3, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V1, result: false
[2024-06-03 20:51:40] [main/INFO] [CustomSkinLoader Fabric]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V2, result: true
